isbn,titulo,Autor,precio,link,categoria
9780241703014,Gramatica Inglesa. English For Everyone Junior,DORLING KINDERSLEY,21000,https://www.antartica.cl/gramatica-inglesa-english-for-everyone-junior-9780241703014.html,Referencias
9780241703021,Ingles Para El Dia A Dia. English For Everyone,DORLING KINDERSLEY,23000,https://www.antartica.cl/ingles-para-el-dia-a-dia-english-for-everyone-9780241703021.html,Referencias
9789560801609,My Picture Dictionary,"ARRIARAN, JAVIERA",25000,https://www.antartica.cl/my-picture-dictionary-9789560801609.html,Referencias
9789566177043,Aprende Coreano Con Los K-Dramas,"EUNJIN, KIM",19900,https://www.antartica.cl/aprende-coreano-con-los-k-dramas-9789566177043.html,Referencias
9788494728877,Diccionario Sopena Japones-Español Pocket,SOPENA,32430,https://www.antartica.cl/diccionario-sopena-japones-espanol-pocket-9788494728877.html,Referencias
9788499744285,Diccionario Ilustrado Latin-Español / Español-Latin,VARIOS AUTORES,45330,https://www.antartica.cl/diccionario-ilustrado-latin-espanol-espanol-latin-9788499744285.html,Referencias
9789564046198,Cuaderno De Escritura. Escribo Con Estos Ejercicios,"CODNER DUJOVNE, KAREN",7140,https://www.antartica.cl/cuaderno-de-escritura-escribo-con-estos-ejercicios-9789564046198.html,Referencias
9789500253390,Diccionario Español-Ingles,EL ATENEO,7501,https://www.antartica.cl/diccionario-espanol-ingles-9789500253390.html,Referencias
9789500210409,Diccionario Escolar De La Lengua Español,EL ATENEO,8800,https://www.antartica.cl/diccionario-escolar-de-la-lengua-espanol-9789500210409.html,Referencias
9789563162356,Condorito Profesiones Y Oficios (Td),PEPO,5900,https://www.antartica.cl/condorito-profesiones-y-oficios-td-9789563162356.html,Referencias
9789563161618,Condorito Mi Primer Dia De Clases Español-Ingles (Td),PEPO,5900,https://www.antartica.cl/condorito-mi-primer-dia-de-clases-espanol-ingles-td-9789563161618.html,Referencias
9780241636985,Historia De La Ciencia,DORLING KINDERSLEY,33999,https://www.antartica.cl/historia-de-la-ciencia-9780241636985.html,Referencias
9788467066920,Cronica De La Lengua Española 2022-2023c,REAL ACADEMIA ESPAÑOLA,59900,https://www.antartica.cl/cronica-de-la-lengua-espanola-2022-2023c-9788467066920.html,Referencias
9788449421112,Diccionario Practico De La Lengua Español Y De Nombres Propios,GRUPO OCEANO,9660,https://www.antartica.cl/diccionario-practico-de-la-lengua-espanol-y-de-nombres-propios-9788449421112.html,Referencias
9788449427343,Diccionario Oceano Pocket Español-Portugues Portugues-Español,GRUPO OCEANO,10500,https://www.antartica.cl/diccionario-oceano-pocket-espanol-portugues-portugues-espanol-9788449427343.html,Referencias
9788413429427,Star Wars Nueva Enciclopedia De Personajes. Actualizada Y Ampliada,VARIOS AUTORES,34490,https://www.antartica.cl/star-wars-nueva-enciclopedia-de-personajes-actualizada-y-ampliada-9788413429427.html,Referencias
9788426131874,Diccionario Eulexico Para Expresarse Con Estilo Y Rigor,"BONEU, JAVIER",17550,https://www.antartica.cl/diccionario-eulexico-para-expresarse-con-estilo-y-rigor-9788426131874.html,Referencias
9788497842860,Diccionario Critico De Politica Cultural,"COELHO, TEIXEIRA",37290,https://www.antartica.cl/diccionario-critico-de-politica-cultural-9788497842860.html,Referencias
9788449420221,Diccionario Oceano Practico Frances-Español Francais-Espagnol,GRUPO OCEANO,10500,https://www.antartica.cl/diccionario-oceano-practico-frances-espanol-francais-espagnol-9788449420221.html,Referencias
9788449456787,Diccionario Practico De La Lengua Española,VARIOS AUTORES,13020,https://www.antartica.cl/diccionario-practico-de-la-lengua-espanola-9788449456787.html,Referencias
9788427710993,"Como Educar En Valores: Materiales, Text","CARRERAS, LLORENC",20710,https://www.antartica.cl/como-educar-en-valores-materiales-text-9788427710993.html,Referencias
9788497849289,Hic Et Nunc. Aquí Y Ahora Seguimos Hablando Latin,"BATLLORI, TONI",15540,https://www.antartica.cl/hic-et-nunc-aqui-y-ahora-seguimos-hablando-latin-9788497849289.html,Referencias
9780582511705,Opportunities Beginners Language Powerbook,,10720,https://www.antartica.cl/opportunities-beginners-language-powerbook-9780582511705.html,Referencias
9789563383195,Nuevo Diccionario Mapudungun. Mapudungun-Español,FORJA,13900,https://www.antartica.cl/nuevo-diccionario-mapudungun-mapudungun-espanol-9789563383195.html,Referencias
9789561422704,Punto C/Ele. Manual De Español Como Lengua Extranjera Nivel B2,VARIOS AUTORES,15730,https://www.antartica.cl/punto-cele-manual-de-espanol-como-lengua-extranjera-nivel-b2-9789561422704.html,Referencias
9789702212997,Larousse Diccionario Americano De Dudas,LAROUSSE,5763,https://www.antartica.cl/larousse-diccionario-americano-de-dudas-9789702212997.html,Referencias
9789879264492,Diccionario Latin Español Ilustrado,SOPENA,44350,https://www.antartica.cl/diccionario-latin-espanol-ilustrado-9789879264492.html,Referencias
9788428338714,Curso De Fontaneria Paso A Paso,"LOPEZ CAÑERO, JUAN",46224,https://www.antartica.cl/curso-de-fontaneria-paso-a-paso-9788428338714.html,Referencias
9781476705040,Websters New World Dictionary,MERRIAM WEBSTER,4667,https://www.antartica.cl/websters-new-world-dictionary-9781476705040.html,Referencias
9788853012333,Total Advanced Student Books. Certificate In Advanced English (Cd Room,"ELLIOT, SUE",59300,https://www.antartica.cl/total-advanced-student-books-certificate-in-advanced-english-cd-room-9788853012333.html,Referencias
9781465479242,Super Tiburones: Y Otras Criaturas De Las Profundidades (Dk) (Td),DORLING KINDERSLEY,22942,https://www.antartica.cl/super-tiburones-y-otras-criaturas-de-las-profundidades-dk-td-9781465479242.html,Referencias
9789879264386,Saber Español En 9 Dias,SOPENA,18870,https://www.antartica.cl/saber-espanol-en-9-dias-9789879264386.html,Referencias
9789561423442,"Punto C/Ele, Manual De Español Como Lengua Extranjera. Nivel B1",,15730,https://www.antartica.cl/punto-cele-manual-de-espanol-como-lengua-extranjera-nivel-b1-9789561423442.html,Referencias
9789561420601,Punto C/ Ele. Manual De Español Como Lengua Extranjera. Nivel B,,15730,https://www.antartica.cl/punto-c-ele-manual-de-espanol-como-lengua-extranjera-nivel-b-9789561420601.html,Referencias
9780194314411,Oxford Dictionary Of Computing,,9990,https://www.antartica.cl/oxford-dictionary-of-computing-9780194314411.html,Referencias
9788853011060,New Pass Trinity + Cd Grades 7/8,,21170,https://www.antartica.cl/new-pass-trinity--cd-grades-78-9788853011060.html,Referencias
,,,,,Referencias
9788853011046,New Pass Trinity + Cd Grades 5/6,,21170,https://www.antartica.cl/new-pass-trinity--cd-grades-56-9788853011046.html,Referencias
9781450814805,My First Phonics Dictionary,"WEBER, LOUIS",8421,https://www.antartica.cl/my-first-phonics-dictionary-9781450814805.html,Referencias
9780785383703,My First Encyclopedia,"WEBER, LOUIS",8421,https://www.antartica.cl/my-first-encyclopedia-9780785383703.html,Referencias
9780785383697,My First Dictionary,"WEBER, LOUIS",8421,https://www.antartica.cl/my-first-dictionary-9780785383697.html,Referencias
9788441428058,Mi Primera Caja Para Aprender: Incluye Las Palabras Clave En Ingles,"LALLEMAND, ORIANNE",7500,https://www.antartica.cl/mi-primera-caja-para-aprender-incluye-las-palabras-clave-en-ingles-9788441428058.html,Referencias
9789563324327,Lengua Y Cultura Quechuas 2 (Autopreparacion),"PACHECO, ALIPIO",17310,https://www.antartica.cl/lengua-y-cultura-quechuas-2-autopreparacion-9789563324327.html,Referencias
9786072100763,Larousse Learners Chambers English Dictionary,LAROUSSE,11015,https://www.antartica.cl/larousse-learners-chambers-english-dictionary-9786072100763.html,Referencias
9789702213550,Larousse Conjugacion Lengua Española,LAROUSSE,4190,https://www.antartica.cl/larousse-conjugacion-lengua-espanola-9789702213550.html,Referencias
9789684390676,Key Word Dictionary,LAROUSSE,7865,https://www.antartica.cl/key-word-dictionary-9789684390676.html,Referencias
9788425423383,Hanyu 1,"COSTA VILA, EVA",40040,https://www.antartica.cl/hanyu-1-9788425423383.html,Referencias
9788496435308,Guía Práctica De Conversación Ucraniano-Español,ARGUVAL,6990,https://www.antartica.cl/guia-practica-de-conversacion-ucraniano-espanol-9788496435308.html,Referencias
9789563122954,"Gran Diccionario Sinonimos, Antonimos E Ideas Afines","MORRISON, TIRSO",5941,https://www.antartica.cl/gran-diccionario-sinonimos-antonimos-e-ideas-afines-9789563122954.html,Referencias
9789563121445,Gran Diccionario Ilustrado Ingles-Español. Español-Ingles,BIBLIOGRAFICA,5941,https://www.antartica.cl/gran-diccionario-ilustrado-ingles-espanol-espanol-ingles-9789563121445.html,Referencias
9789563123043,Gran Diccionario Ilustrado De La Lengua Española Bibliografica,BIBLIOGRAFICA,5945,https://www.antartica.cl/gran-diccionario-ilustrado-de-la-lengua-espanola-bibliografica-9789563123043.html,Referencias
9789685275293,Glosario Teosofico,"BLAVATSKY, H. P.",59100,https://www.antartica.cl/glosario-teosofico-9789685275293.html,Referencias
9788853006172,Fusion +Cd,"SELLEN, DEREK",29370,https://www.antartica.cl/fusion-cd-9788853006172.html,Referencias
9781465462237,English For Everyone Nivel 4 Avanzado. Libro De Ejercicios,DORLING KINDERSLEY,12317,https://www.antartica.cl/english-for-everyone-nivel-4-avanzado-libro-de-ejercicios-9781465462237.html,Referencias
9788484591696,El Medico En Casa. Guia Practica Para La Salud,"BRICKENKAMP, ROLF",45900,https://www.antartica.cl/el-medico-en-casa-guia-practica-para-la-salud-9788484591696.html,Referencias
9789561124271,El Mapudungun De Santiago De Chile. Creacion Neologica Y Vitalidad Int,"VILLENA, BELEN",8140,https://www.antartica.cl/el-mapudungun-de-santiago-de-chile-creacion-neologica-y-vitalidad-int-9789561124271.html,Referencias
9788433028211,El Enigma De La Belleza,"LOPEZ QUINTAS, ALFONSO",19542,https://www.antartica.cl/el-enigma-de-la-belleza-9788433028211.html,Referencias
9789569533211,Diccionario Sopena Mini Ingles-Español Spanish-English,SOPENA,6760,https://www.antartica.cl/diccionario-sopena-mini-ingles-espanol-spanish-english-9789569533211.html,Referencias
9789567348930,Diccionario Practico Español Ghio,LIBERTAD,8040,https://www.antartica.cl/diccionario-practico-espanol-ghio-9789567348930.html,Referencias
9789561222144,Diccionario Práctico De Sinónimos Y Antónimos Zig-Zag,"BLANCO, GUILLERMO",5990,https://www.antartica.cl/diccionario-practico-de-sinonimos-y-antonimos-zig-zag-9789561222144.html,Referencias
9788430311934,Diccionario Portugues Español 2 Tomos,SOPENA,93450,https://www.antartica.cl/diccionario-portugues-espanol-2-tomos-9788430311934.html,Referencias
9788497988711,Diccionario Politecnico De Las Lenguas Española E Inglesa (2),"BEIGBEDER, ATIENZA",84915,https://www.antartica.cl/diccionario-politecnico-de-las-lenguas-espanola-e-inglesa-2-9788497988711.html,Referencias
9788479788704,Diccionario Politecnico De Las Lenguas Española E Inglesa (1),"BEIGBEDER, ATIENZA",80742,https://www.antartica.cl/diccionario-politecnico-de-las-lenguas-espanola-e-inglesa-1-9788479788704.html,Referencias
9788449442001,Diccionario Pocket Collins English Dictionary,GRUPO OCEANO,9970,https://www.antartica.cl/diccionario-pocket-collins-english-dictionary-9788449442001.html,Referencias
9788429126006,Diccionario Palabras Y Locuciones De Uso Frecuente En Computacion Ingl,"BOURGUIGNON, E.M.",11042,https://www.antartica.cl/diccionario-palabras-y-locuciones-de-uso-frecuente-en-computacion-ingl-9788429126006.html,Referencias
9789686321272,Diccionario Oceano Practico De La Lengua Española,GRUPO OCEANO,5130,https://www.antartica.cl/diccionario-oceano-practico-de-la-lengua-espanola-9789686321272.html,Referencias
9788449420313,Diccionario Oceano Basico Español-Ingles English-Spanish,GRUPO OCEANO,6820,https://www.antartica.cl/diccionario-oceano-basico-espanol-ingles-english-spanish-9788449420313.html,Referencias
9788494728815,Diccionario Novo Mini Portugues,SOPENA,25420,https://www.antartica.cl/diccionario-novo-mini-portugues-9788494728815.html,Referencias
9789876092685,Diccionario Mitos Clasicos Para Uso De Modernos,"DE VILLENA, LUIS ANTONIO",23000,https://www.antartica.cl/diccionario-mitos-clasicos-para-uso-de-modernos-9789876092685.html,Referencias
9788499743080,Diccionario Manual Chino-Español,GRUPO ANAYA,48640,https://www.antartica.cl/diccionario-manual-chino-espanol-9788499743080.html,Referencias
9789974775084,Diccionario Magister De La Lengua Espaão,"WU, CHENGEN",4850,https://www.antartica.cl/diccionario-magister-de-la-lengua-espa-o-9789974775084.html,Referencias
9786070400049,Diccionario Larousse Escolar Plus Secundaria,LAROUSSE,16790,https://www.antartica.cl/diccionario-larousse-escolar-plus-secundaria-9786070400049.html,Referencias
9789702204824,Diccionario Larousse Compact Español-Portugués,LAROUSSE,14690,https://www.antartica.cl/diccionario-larousse-compact-espanol-portugues-9789702204824.html,Referencias
,,,,,Referencias
9788430311712,Diccionario Iter Ortografico Español,SOPENA,8040,https://www.antartica.cl/diccionario-iter-ortografico-espanol-9788430311712.html,Referencias
9789561218901,Diccionario Inglés Básico Ghio,"GHIO D., ARMANDO",5440,https://www.antartica.cl/diccionario-ingles-basico-ghio-9789561218901.html,Referencias
9789561218925,Diccionario Español-Ingles Inglés-Español Ilustrado Zig-Zag,ZIG ZAG,5440,https://www.antartica.cl/diccionario-espanol-ingles-ingles-espanol-ilustrado-zig-zag-9789561218925.html,Referencias
9788491045243,Diccionario De Terminos Literarios,"ESTEBANEZ CALDERON, DEMETRIO",119890,https://www.antartica.cl/diccionario-de-terminos-literarios-9788491045243.html,Referencias
9789875764002,"Diccionario De Sinonimos, Antoninos Y Palabras Relacionadas",VARIOS AUTORES,6120,https://www.antartica.cl/diccionario-de-sinonimos-antoninos-y-palabras-relacionadas-9789875764002.html,Referencias
9788471892140,Diccionario De Sinónimos Y Antónimos De La Lengua Española (2 Tomos) M,"LOPEZ GARCIAMOLINS, ANGEL",84992,https://www.antartica.cl/diccionario-de-sinonimos-y-antonimos-de-la-lengua-espanola-2-tomos-m-9788471892140.html,Referencias
9788496576223,Diccionario De Peliculas Del Cine Norteamericano,VARIOS AUTORES,45042,https://www.antartica.cl/diccionario-de-peliculas-del-cine-norteamericano-9788496576223.html,Referencias
9789567348954,Diccionario De Ingles-Español Ghio,"GHIO D., ARMANDO",8040,https://www.antartica.cl/diccionario-de-ingles-espanol-ghio-9789567348954.html,Referencias
9788483175125,Diccionario De Dudas (I-Z),VARIOS AUTORES,17765,https://www.antartica.cl/diccionario-de-dudas-i-z-9788483175125.html,Referencias
9788483175118,Diccionario De Dudas (A-H),VARIOS AUTORES,17765,https://www.antartica.cl/diccionario-de-dudas-a-h-9788483175118.html,Referencias
9788420652856,Diccionario De Archivistica,"CRUZ MUNDET, JOSE RAMON",22250,https://www.antartica.cl/diccionario-de-archivistica-9788420652856.html,Referencias
9789568484651,Diccionario Chileno De La Animalengua,"DUSSUEL, MARIA LUZ
LEWIN, RENATO",12240,https://www.antartica.cl/diccionario-chileno-de-la-animalengua-9789568484651.html,Referencias
9788471538550,Diccionario Bilingüe Vox: Manual Español-Chino,VOX,37530,https://www.antartica.cl/diccionario-bilingue-vox-manual-espanol-chino-9788471538550.html,Referencias
9788499741451,Diccionario Bilingue Manual Español-Chino,VOX,39050,https://www.antartica.cl/diccionario-bilingue-manual-espanol-chino-9788499741451.html,Referencias
9789563121278,Diccionario Bibliografica Junior Ingles-Español. Español-Ingles,BIBLIOGRAFICA,11003,https://www.antartica.cl/diccionario-bibliografica-junior-ingles-espanol-espanol-ingles-9789563121278.html,Referencias
9789563161878,Condorito Circo Español Ingles (Td),PEPO,5900,https://www.antartica.cl/condorito-circo-espanol-ingles-td-9789563161878.html,Referencias
9780199601080,Concise Oxford English Dictionary: Main Edition [Hardcover],OXFORD,54990,https://www.antartica.cl/concise-oxford-english-dictionary-main-edition-hardcover-9780199601080.html,Referencias
9789563192766,Como Practicar Ingles En Cualquier Parte,"VALENZUELA MENDEZ, JORGE",15660,https://www.antartica.cl/como-practicar-ingles-en-cualquier-parte-9789563192766.html,Referencias
9781577151302,Chinese Calligraphy,"LIN, SUVANA",19542,https://www.antartica.cl/chinese-calligraphy-9781577151302.html,Referencias
9781465479228,¿Que Ocurrio En El Mundo? (Dk) (Td),DORLING KINDERSLEY,17842,https://www.antartica.cl/que-ocurrio-en-el-mundo-dk-td-9781465479228.html,Referencias
9781465479211,¿A Que No Lo Sabias? (Dk) (Td),DORLING KINDERSLEY,17842,https://www.antartica.cl/a-que-no-lo-sabias-dk-td-9781465479211.html,Referencias
,,,,,Referencias
